Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Wyatt Young NYN,L,0.008105263,0,-0.104736842,0.131578947,0.016684211,0,9.684106614,-0.02583838,0.092187185,0.090583291,-0.025388838,0.272997231,0.982601765,
Brayden Taylor TBA,L,0.011666667,0,-0.104166667,0.129166667,0.01625,0,9.694656489,-0.026033959,0.091639537,0.091218021,-0.025914211,0.276491342,0.995400286,
Darin Ruf NA,R,-0.000714286,0,-0.107142857,0.135714286,-0.117142857,0,9.689922481,-0.026315789,0.09122807,0.0922211,-0.02660224,0.28076627,1.010885135,
Thomas Sosa BAL,L,0.010526316,0,-0.105263158,0.131578947,-0.050526316,0,9.62962963,-0.025641026,0.092307692,0.091944912,-0.025540253,0.276641475,0.996069876,
Carter Kieboom CLE,R,0.003333333,0.04,-0.106666667,0.13,-0.082666667,0,9.6,-0.026380763,0.09233267,0.092380811,-0.026394518,0.277835786,1.000521392,
Chandler Redmond NA,L,0.004871795,0,-0.105128205,0.133333333,-0.083589744,0,9.704433498,-0.025851669,0.092057164,0.092179221,-0.025885946,0.278022137,1.001325884,
Brandon Drury KCA,R,-0.005757576,-0.026515152,-0.107575758,0.134090909,0.016666667,0,9.696969697,-0.026074127,0.091993925,0.089935757,-0.025490773,0.271392224,0.977627129,
Michael Chavis CIN,R,0.005806452,-0.04516129,-0.103225806,0.129032258,0.016451613,0,10,-0.02585108,0.092094473,0.092470836,-0.025956726,0.278730453,1.004086705,
Preston Tucker NA,L,-0.001052632,0,-0.105263158,0.131578947,-0.026842105,0,10,-0.025641026,0.092307692,0.092220262,-0.02561674,0.277332074,0.999052843,
Ernest Yake NA,L,0.010526316,0,-0.105263158,0.131578947,0.016842105,0,9.714285714,-0.025641026,0.092307692,0.092072011,-0.025575559,0.276874272,0.997446789,
Yongkyu Lee NA,L,-0.006315789,0,-0.105263158,0.131578947,-0.026842105,0,10,-0.025641026,0.092307692,0.092489952,-0.025691653,0.278125071,1.001974483,
Whit Merrifield NA,R,0.015,-0.016666667,-0.105555556,0.133333333,0.016666667,0,9.625,-0.026119399,0.09210525,0.092513314,-0.026235119,0.278803767,1.004430411,
Daniel Susac SFN,R,0.007711749,0,-0.105874317,0.131762295,0.083326503,0,9.683222084,-0.026114512,0.091956779,0.09316367,-0.026457253,0.281206901,1.013124544,
Onil Perez SFN,R,0.01225,0,-0.105,0.13,0.083,0,9.67806841,-0.02602651,0.091712462,0.090723001,-0.025745716,0.274548662,0.989211265,
Kyren Paris LAA,R,0.024203911,0.004748603,-0.102513966,0.127234637,0.016662011,0,9.682753317,-0.026173333,0.091891933,0.091178199,-0.025970042,0.275335702,0.992232908,
Yuli Gurriel SDN,R,-0.002454545,0,-0.107272727,0.133636364,-0.116909091,0,9.6875,-0.026132749,0.09190755,0.091661441,-0.026062771,0.276738959,0.997322201,
Luis Castro NA,R,0.01,0,-0.105882353,0.135294118,-0.084705882,0,9.625,-0.025714286,0.091428571,0.091265282,-0.02566836,0.276971449,0.998214018,
Owen Miller CHN,R,0.0108,-0.037714286,-0.106857143,0.132571429,0.016685714,0,9.678571429,-0.026198762,0.091905817,0.090848197,-0.025897276,0.274250285,0.988492357,
Michael Snyder MIA,R,0.014117647,0,-0.105882353,0.135294118,0.017058824,0,9.716981132,-0.025714286,0.091428571,0.088102777,-0.024778906,0.267327642,0.963624128,
Cole Roederer NA,L,0.007586207,0,-0.105172414,0.131034483,-0.049827586,0,9.693877551,-0.026051326,0.091820247,0.091631388,-0.025997743,0.2768464,0.997943169,
Matthew Fraizer BOS,L,0.011166667,0,-0.106666667,0.131666667,-0.049833333,0,9.647058824,-0.026410612,0.091611812,0.091719405,-0.02644163,0.277705768,1.001174447,
C.J. Alexander HOU,L,0.002436975,0.024369748,-0.105042017,0.130252101,-0.083277311,0,9.6875,-0.026213584,0.091852399,0.091665426,-0.026160224,0.276814372,0.997964417,
Geisel Cepeda TEX,R,0.011764706,0,-0.105882353,0.135294118,-0.050588235,0,9.411764706,-0.025714286,0.091428571,0.091694519,-0.025789083,0.278173805,1.0029088,
Luis Vazquez BAL,R,0.00847619,0.018095238,-0.107619048,0.133333333,0.016761905,0,9.679572764,-0.026254031,0.09177294,0.09145979,-0.026164446,0.276396642,0.99658777,
Bryan Arias NA,R,0.012352941,0,-0.105882353,0.135294118,0.017058824,0,9.708737864,-0.025714286,0.091428571,0.09127404,-0.025670824,0.276834306,0.998309813,
Corey Joyce PIT,R,0.011764706,0,-0.105882353,0.135294118,0.017058824,0,9.705882353,-0.025714286,0.091428571,0.092730679,-0.026080503,0.281248237,1.0142418,
Ronaldo HernÃ¡ndez NA,R,0.001764706,0,-0.105882353,0.132352941,0.083529412,0,9.693877551,-0.026054621,0.091914914,0.092041304,-0.026090448,0.277678305,1.001375078,
James Lott NA,R,0.011176471,0,-0.105882353,0.135294118,-0.050588235,0,9.444444444,-0.025714286,0.091428571,0.091909055,-0.025849422,0.278729144,1.005255287,
