Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,wWOBA Change
Alec Burleson SLN,L,-0.002105221,0.002458101,0.115799272,0.142306758,-0.08100688,0,9.682986839,0.026447278,0.144516342,0.145403475,0.026609628,0.344952618,1.006138633,0.002104618
Alex Bregman CHN,R,-0.00757951,-0.004404728,0.118505488,0.145954123,0.016666901,0,9.683009161,0.026388268,0.144458611,0.143030566,0.026127407,0.339386499,0.990114504,-0.003388501
Josh Naylor SEA,L,0.000258575,0.011054545,0.113139842,0.139683377,-0.08558236,0,9.68299202,0.026324269,0.144394087,0.141217244,0.025745103,0.335154322,0.977998804,-0.007539678
Jacob Wilson OAK,R,0.005659017,-0.001011167,0.107728831,0.13561945,0.048863097,0,9.682996092,0.025817101,0.143886297,0.13995305,0.02511137,0.33271438,0.972664201,-0.00935062
Jonathan Aranda TBA,L,-0.008724046,0.007436873,0.111780847,0.142101893,-0.09022958,0,9.683022363,0.025566059,0.143637276,0.142483625,0.02536072,0.339009135,0.991968302,-0.002744865
Drake Baldwin ATL,L,0.00105158,-0.036986734,0.112622594,0.143171086,-0.001587359,-0.020430599,9.683018543,0.025566177,0.143634006,0.144422246,0.02570648,0.343627479,1.005487836,0.001875479
Manny Machado SDN,R,-0.001431005,-0.015304978,0.111525072,0.142996815,-0.002173913,0,9.682987733,0.025348232,0.143417763,0.140321243,0.024800941,0.334110071,0.978409089,-0.007372929
Wander Franco TBA,B,0.020593368,0.007504363,0.102094241,0.131762653,0.049982548,0,9.683081581,0.02518854,0.143251747,0.142769962,0.025103826,0.340148152,0.996636796,-0.001147848
Jackson Merrill SDN,L,0.015014169,0.027126697,0.108210291,0.141923937,0.015184937,0,9.68299095,0.0247799,0.142849438,0.137297638,0.023816837,0.327531845,0.961135306,-0.013244155
Jackson Chourio MIL,R,0.025293356,0.013672859,0.110903688,0.1471274,-0.048565986,0,9.683002342,0.024498862,0.142568061,0.140105486,0.024075694,0.334547794,0.98272702,-0.005880206
Geraldo Perdomo ARI,B,0.021931024,-0.004283217,0.108407502,0.145239987,0.049998411,0,9.683009674,0.02425867,0.142328084,0.142449687,0.024279397,0.3404196,1.000854382,0.0002906
Austin Riley ATL,R,0.000863884,-0.025528232,0.103630713,0.141562478,0.013888536,0,9.682992725,0.023792112,0.141860734,0.137393447,0.023042883,0.32885638,0.968509346,-0.01069262
Elly De La Cruz CIN,B,0.038900272,0.010848783,0.103009027,0.143623728,0.048262645,0,9.683006481,0.023310346,0.141379569,0.142749258,0.023536178,0.342234766,1.009688026,0.003283766
Francisco Alvarez NYN,R,-0.00299135,-0.052730761,0.092295313,0.129169181,0.061678737,0.024989853,9.683006613,0.023223503,0.141292341,0.137641416,0.022623419,0.330088436,0.974160487,-0.008755564
Brendan Donovan SEA,L,0.0038671,-0.00863519,0.103955367,0.147489383,0.011667083,0,9.682991922,0.022907524,0.140977425,0.140739169,0.02286881,0.337879007,0.998309968,-0.000571993
Spencer Horwitz PIT,L,-0.001773673,0.009116337,0.094566598,0.136655917,-0.085214502,0,9.683001729,0.022490197,0.140558499,0.140142518,0.022423637,0.336931895,0.997040514,-0.001000105
Max Muncy LAN,L,-0.002586106,-0.026001168,0.090110917,0.133216579,0.013590193,0,9.682977362,0.021983413,0.140052397,0.143448534,0.022516489,0.345482275,1.024249043,0.008179275
Marcell Ozuna PIT,R,-0.011981839,0,0.092819697,0.13792361,-0.116664482,0,9.683033137,0.021872457,0.139941809,0.136467476,0.02132943,0.328794211,0.975173019,-0.008370789
Will Smith LAN,R,-0.004005022,0.012120653,0.092422204,0.137610977,0.077831585,-0.055719557,9.683015897,0.021827402,0.139895732,0.138501346,0.021609842,0.333748924,0.990032672,-0.003360076
Joc Pederson TEX,L,-0.001480166,-0.007294118,0.093143872,0.14,-0.11499704,0,9.683032738,0.021623331,0.139691226,0.137312887,0.021255179,0.331119812,0.982974312,-0.005735188
Gabriel Moreno ARI,R,0.001953222,0.021949891,0.091122661,0.137401247,0.074273389,0.028310458,9.683006433,0.021554584,0.139625317,0.137729901,0.021261981,0.332199328,0.986424983,-0.004571672
Cody Bellinger NYA,L,0.011323879,0.00417018,0.094549636,0.142989651,-0.03825757,0,9.683010201,0.021490825,0.139559682,0.139766718,0.021522707,0.337190479,1.001483494,0.000499479
Shea Langeliers OAK,R,0.002201382,-0.019545964,0.094346226,0.143641748,0.059636543,-0.058350306,9.683004466,0.021346504,0.139417258,0.141040881,0.0215951,0.340431957,1.011645782,0.003918957
Sal Stewart CIN,R,0.007996335,0.003912072,0.088220322,0.136438607,-0.079630422,0,9.682978046,0.021014958,0.139084342,0.139650432,0.021100492,0.337467967,1.004070119,0.001367967
Kerry Carpenter DET,L,0.002211013,-0.015002627,0.092202606,0.143852459,-0.090003153,0,9.682996053,0.020830605,0.138900772,0.135882756,0.020378001,0.3285752,0.978272145,-0.0072978
Mike Trout LAA,R,0.000646788,-0.025193244,0.092223533,0.143934356,-0.070830205,0,9.682980243,0.020823806,0.138893184,0.144449236,0.021656806,0.349297263,1.040002331,0.013435263
Christian Yelich MIL,L,0.018185596,-0.031243523,0.087922438,0.141218837,-0.104813481,0,9.683025881,0.020234844,0.138305432,0.137306009,0.020088623,0.332710269,0.9927738,-0.002421731
Wilyer Abreu BOS,L,0.006302661,0.010584487,0.085132083,0.13709123,-0.05090052,0,9.683023912,0.020182645,0.13825426,0.138446583,0.020210721,0.335534107,1.001391082,0.000466107
Trea Turner PHI,R,0.037769713,-0.01289786,0.092810161,0.14973917,0.05,0,9.683001442,0.020144612,0.138214422,0.135442225,0.019740567,0.32830043,0.97994278,-0.00671957
Kevin McGonigle DET,L,0.012529452,0,0.093554668,0.151095317,0.048269886,0,9.682991924,0.02012355,0.138192601,0.142296309,0.02072113,0.344941838,1.029695571,0.009947838
Jorge Polanco NYN,B,0.002485612,0.037434409,0.085512012,0.13909747,-0.086794556,0,9.682989665,0.019980259,0.138049693,0.135516246,0.019613587,0.328671558,0.981648302,-0.006144442
Matt Wallner MIN,L,0.004538088,-0.013740458,0.080743517,0.132576985,-0.052941653,0,9.682976377,0.019793261,0.13786251,0.133799344,0.019209902,0.324722943,0.97052741,-0.009861057
Willson Contreras BOS,R,-0.00751567,0.003821586,0.085603039,0.140854701,-0.087928775,0,9.683000618,0.019751409,0.137819433,0.138746093,0.019884212,0.336779288,1.006723726,0.002249288
Carlos Correa HOU,R,-0.006382808,0.033795014,0.084147976,0.141077652,0.019959789,0,9.68300348,0.01938604,0.137456227,0.137657998,0.019414497,0.334567388,1.001467889,0.000490388
Mark Vientos NYN,R,-0.001522793,0.027411765,0.080921435,0.136207565,-0.101324927,0,9.682978076,0.019308385,0.13737813,0.134181222,0.018859062,0.326208974,0.976729137,-0.007772026
Jordan Westburg BAL,R,0.00581467,-0.012556664,0.083131292,0.140322581,0.004166838,0,9.683006442,0.019254928,0.137325802,0.135979248,0.019066123,0.330640782,0.990194457,-0.003274218
Ian Happ CHN,B,0.003847671,-0.01892758,0.085218065,0.144190798,-0.050708096,0,9.682995407,0.019207764,0.137277945,0.138641862,0.019398602,0.337174017,1.009935442,0.003317017
Triston Casas BOS,L,-0.003216524,-0.002642276,0.079458689,0.135925926,-0.093333333,0,9.683056175,0.018999002,0.137073473,0.136339938,0.018897331,0.331814772,0.994648597,-0.001785228
Jesse Winker NA,L,-0.008045646,-0.03315482,0.079171461,0.137763713,-0.090398926,0,9.682937018,0.018678696,0.136750859,0.136668414,0.018667435,0.332999118,0.999397113,-0.000200882
Lars Nootbaar SLN,L,0.008382434,-0.012415371,0.079972553,0.141198536,-0.045670631,0,9.682975845,0.018408055,0.136477794,0.136654075,0.018431832,0.333293943,1.001291648,0.000429943
Colt Keith DET,L,0.011088388,0.009451872,0.075129983,0.134887348,-0.045774697,0,9.683016041,0.018102659,0.136172916,0.13495808,0.01794116,0.329517819,0.991078726,-0.002966181
