Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Riley Alderman MIA,R,0.00543956,0,-0.034065934,0.131868132,-0.050054945,0,9.68,-0.00839605,0.109690333,0.107639715,-0.008239089,0.293968676,0.981305395,
Anthony Rendon LAA,R,-0.003235294,-0.023529412,-0.036764706,0.141176471,0.016617647,0,9.682779456,-0.008435914,0.109666882,0.111051795,-0.008542446,0.303243713,1.012628357,
Rafael Marchan PHI,B,3.44E-05,0.00524957,-0.033562823,0.127710843,0.083364888,-0.013948276,9.683197837,-0.008540428,0.109514563,0.105348976,-0.008215577,0.287993494,0.961963164,
Kyler Fedko MIN,R,0.001428571,0,-0.042857143,0.142857143,-0.088571429,0,10,-0.01,0.11,0.109784487,-0.009980408,0.298751533,0.998040787,
Nacho Alvarez Jr. ATL,R,0.001240876,-0.062408759,-0.034306569,0.126642336,0.049927007,0,9.681917633,-0.008811374,0.109298539,0.107274795,-0.008648225,0.293514829,0.981484254,
Tyrone Taylor NYN,R,0.010070652,0.00298913,-0.035271739,0.129836957,-0.032913043,0,9.683032036,-0.008828103,0.109242669,0.108015759,-0.008728954,0.295673557,0.988768951,
Fenwick Trimble MIA,R,0.002857143,0,-0.042857143,0.142857143,-0.052857143,0,9.722222222,-0.01,0.11,0.106705881,-0.009700535,0.290068298,0.970053467,
Brenton Doyle COL,R,0.008929093,0.032944266,-0.036504231,0.133761307,0.016667639,0,9.682988651,-0.008869104,0.109201286,0.106460636,-0.008646514,0.291478378,0.974902763,
Wilyer Abreu BOS,L,0.002269504,0.010535025,-0.037752319,0.137097654,-0.050900164,0,9.68288232,-0.008950405,0.109125091,0.110067186,-0.009027675,0.301464314,1.008633162,
Jung Hoo Lee SFN,L,0.009408134,0.017928731,-0.038017429,0.138017429,-0.038503994,0,9.683151593,-0.008951264,0.109116508,0.108041238,-0.008863055,0.295932759,0.990145675,
Ryan O'Hearn PIT,L,-0.002134602,-0.009386828,-0.038341264,0.139021074,-0.068368457,0,9.682203976,-0.008962124,0.109102741,0.110604631,-0.009085495,0.302985208,1.013765832,
Vito Friscia NA,R,0,0,-0.042857143,0.142857143,0.088571429,0,9.705882353,-0.01,0.11,0.109658082,-0.009968917,0.297936024,0.996891653,
Zack Gelof OAK,R,0.008752345,-0.001969981,-0.036491557,0.131144465,0.016660413,0,9.683101747,-0.009042695,0.10902375,0.111465123,-0.009245188,0.305460367,1.022393035,
Francisco Urbaez CIN,R,0.004285714,0,-0.038095238,0.128571429,-0.114285714,0,9.761904762,-0.009591788,0.109106589,0.109181387,-0.009598364,0.298957811,1.000685553,
TJ Friedl CIN,L,0.011851218,-0.00645575,-0.041855494,0.149465584,-0.002808893,0,9.682933534,-0.009100967,0.108969903,0.106271314,-0.008875586,0.291297956,0.975235461,
Justice Bigbie DET,R,0.001929825,0,-0.036842105,0.131578947,-0.116842105,0,9.663865546,-0.00907404,0.108888481,0.108028922,-0.00900241,0.296335135,0.992106059,
Ronny Simon PIT,B,0.007291667,-0.00625,-0.038194444,0.134722222,0.016666667,0,9.68216598,-0.00922295,0.108998495,0.109415912,-0.009258269,0.299775631,1.003829566,
Enrique Hernandez LAN,R,0.000322841,-0.006698951,-0.036561743,0.129539952,-0.003849879,0,9.682689766,-0.009171741,0.108906838,0.108431477,-0.009131708,0.297311594,0.995635162,
Brayan Rocchio CLE,B,0.000836454,0.012172285,-0.034862672,0.123533084,0.033798377,0,9.683010467,-0.009171823,0.108895896,0.110917984,-0.009342135,0.304154888,1.018568996,
Brady House WAS,R,0.004324402,0.001382887,-0.037597234,0.132526649,0.016666667,0,9.682988963,-0.009220945,0.108849549,0.108072833,-0.009155148,0.296414678,0.992864319,
Nick Fortes TBA,R,0.00095656,-0.041728828,-0.035190873,0.123957876,0.08334796,0.042460527,9.68297014,-0.009225171,0.108838619,0.10859545,-0.00920456,0.297870004,0.997765784,
Sean Bouchard NA,R,0.001881188,-0.014851485,-0.037623762,0.132673267,-0.04980198,0,9.673590504,-0.009225348,0.108761997,0.108477503,-0.009201217,0.297691272,0.99738425,
Zachary Levenson SLN,R,0,0,-0.042857143,0.142857143,0.017142857,0,9.647058824,-0.01,0.11,0.104939297,-0.009539936,0.284657384,0.953993612,
Ramon Rodriguez MIL,R,0.005277778,0,-0.038888889,0.130555556,0.082777778,0,9.685628743,-0.009651398,0.108922923,0.107656636,-0.009539196,0.294899312,0.988374464,
Brennen Davis SEA,R,0.002947368,0,-0.037894737,0.131578947,-0.049947368,0,9.683406114,-0.009355035,0.108622348,0.107942402,-0.009296475,0.296471479,0.993740272,
Shay Whitcomb HOU,R,0.004187192,-0.018965517,-0.038423645,0.132512315,0.016674877,0,9.681987578,-0.009420162,0.108633792,0.106306335,-0.009218337,0.291920726,0.978575203,
Stuart Fairchild CLE,R,0.004540541,-0.021801802,-0.038558559,0.132612613,-0.016666667,0,9.683690955,-0.009443672,0.108646361,0.109161608,-0.009488458,0.299689546,1.004742422,
Colt Keith DET,L,0.009008667,0.009448161,-0.039274106,0.134940412,-0.045785482,0,9.682911242,-0.009461092,0.108613341,0.107596606,-0.009372527,0.295457076,0.990638949,
Mitch Haniger NA,R,-0.00825,-0.0325,-0.039166667,0.134166667,-0.050083333,0,9.615384615,-0.009489665,0.108626376,0.108156481,-0.009448615,0.296941911,0.99567421,
Orlando Arcia MIN,R,-0.002433735,0.012409639,-0.037228916,0.12746988,0.026192771,0,9.683433229,-0.009488678,0.108582414,0.106562071,-0.009312127,0.292672139,0.98139346,
Corey Julks DET,R,0.002587413,-0.014685315,-0.040559441,0.137062937,-0.05,0,9.68503937,-0.009601816,0.108599854,0.108088522,-0.009556607,0.296772065,0.99529159,
Aaron Palensky NA,R,0.001428571,0,-0.042857143,0.142857143,-0.052857143,0,9.714285714,-0.01,0.11,0.109974622,-0.009997693,0.298085214,0.999769294,
Leandro Cedeno SDN,R,-0.001428571,0,-0.042857143,0.142857143,-0.088571429,0,10,-0.01,0.11,0.110136721,-0.010012429,0.298493542,1.001242917,
Josh Donaldson NA,R,-0.014285714,-0.028571429,-0.042857143,0.142857143,0.017142857,0,9.62962963,-0.01,0.11,0.109801798,-0.009981982,0.297517955,0.998198168,
