Full Name,Hand,WAR/GS,ERA,xWAR/GS,SIERA,ERA Change,bpWAR/GS,WAR/IP,Updated WAR/GS,Updated xWAR/GS,Updated WAR/IP,Updated ERA
Jordan Montgomery TEX,L,0.053132716,4.3473,0.054150001,4.25,-0.005900221,0.019,0.0095,0.053204829,0.054223494,0.009512894,4.341399779
Graham Ashcraft CIN,R,#DIV/0!,4.3485,0.060230001,4.17,0.009799971,0.021133334,0.010566667,#DIV/0!,0.060094264,0.010542853,4.358299971
Seth Lugo KCA,R,0.056354395,4.3492,0.054846665,4.04,-0.12059998,0.019244444,0.009622222,0.057917059,0.056367521,0.009889039,4.22860002
Trevor McDonald SFN,R,0.053432098,4.3502,0.053073335,4.25,0.108299828,0.018622223,0.009311111,0.052101886,0.051752055,0.009079308,4.458499828
Fernando Abad COL,L,#DIV/0!,4.3505,0.05434,4.18,-0.002600027,0.019066667,0.009533333,#DIV/0!,0.054372476,0.009539031,4.347899973
Tyler Holton DET,L,#DIV/0!,4.3531,0.050349998,4.26,0.062899919,0.017666666,0.008833333,#DIV/0!,0.049622468,0.008705696,4.415999919
Quinn Mathews SLN,L,0.041987653,4.3542,0.041989998,4.49,0.008300148,0.014733333,0.007366666,0.041907615,0.041909955,0.007352624,4.362500148
Tanner Banks PHI,L,#DIV/0!,4.3544,0.053959998,4.18,0.066000083,0.018933333,0.009466666,#DIV/0!,0.053142121,0.009323179,4.420400083
Benjamin Hess NYA,R,0.050171038,4.3548,0.050096665,4.18,0.040399925,0.017577777,0.008788889,0.049705596,0.049631914,0.008707353,4.395199925
Danny Coulombe FA,L,#DIV/0!,4.3552,0.05016,4.26,0.121599965,0.0176,0.0088,#DIV/0!,0.048759501,0.008554298,4.476799965
Sam Clay FA,L,#DIV/0!,4.3555,0.047309999,4.39,0.016099972,0.0166,0.0083,#DIV/0!,0.047135119,0.008269319,4.371599972
Dustin May SLN,R,0.063136574,4.3557,0.061686668,4.02,0.022599952,0.021644445,0.010822222,0.062808984,0.061366601,0.01076607,4.378299952
Drew Rom MIL,L,0.053021665,4.3573,0.052820003,4.2,0.061300053,0.018533334,0.009266667,0.052275737,0.052076912,0.0091363,4.418600053
Robert Stock NYN,R,#DIV/0!,4.3586,0.054213336,4.15,0.018099924,0.019022223,0.009511112,#DIV/0!,0.053988205,0.009471615,4.376699924
Victor Arano WAS,R,#DIV/0!,4.3587,0.059913333,4.06,0.001899965,0.021022222,0.010511111,#DIV/0!,0.059887216,0.010506529,4.360599965
Robert Kaminsky SLN,L,0.051094891,4.3609,0.050856669,4.37,#N/A,0.017844445,0.008922223,0.051094891,0.050856669,0.008922223,#N/A
Joe Jimenez ATL,R,#DIV/0!,4.3628,0.062003335,3.91,-0.00510004,0.021755556,0.010877778,#DIV/0!,0.062075816,0.010890494,4.35769996
Charlie Morton FA,R,0.052767053,4.3635,0.052756668,4.06,#N/A,0.018511112,0.009255556,0.052767053,0.052756668,0.009255556,#N/A
Kevin Ginkel ARI,R,#DIV/0!,4.3642,0.060166666,4.11,-0.123499874,0.021111111,0.010555555,#DIV/0!,0.061869286,0.010854261,4.240700126
Bailey Ober MIN,R,0.049320987,4.3643,0.048513333,3.91,-0.035299809,0.017022222,0.008511111,0.04971991,0.048905724,0.008579952,4.329000191
Jackson Perkins OAK,R,#DIV/0!,4.3654,0.050033336,4.19,-0.045599921,0.017555556,0.008777778,#DIV/0!,0.050555972,0.008869469,4.319800079
Kyle Gibson FA,R,0.054732041,4.3663,0.054466669,4.15,-0.00160001,0.019111112,0.009555556,0.054752097,0.054486628,0.009559057,4.36469999
Caleb Thielbar CHN,L,#DIV/0!,4.3678,0.05016,4.14,0.040799973,0.0176,0.0088,#DIV/0!,0.049691451,0.008717798,4.408599973
Ronel Blanco HOU,R,0.051666667,4.3695,0.052123333,4.03,0.012099858,0.018288889,0.009144444,0.051523594,0.051978995,0.009119122,4.381599858
Tim Herrin CLE,L,#DIV/0!,4.3721,0.046360001,4.4,0.22469985,0.016266667,0.008133334,#DIV/0!,0.043977374,0.007715329,4.59679985
